O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Data Value,Date,Domain Source
11-2032.00,Public Relations Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7.00,02/2026,Machine Learning/Expert
11-2032.00,Public Relations Managers,1.B.1.f,Conventional,OI,Occupational Interests,4.39,02/2026,Machine Learning/Expert
11-2032.00,Public Relations Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-2032.00,Public Relations Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-2032.00,Public Relations Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,4.00,02/2026,Machine Learning/Expert
11-2033.00,Fundraising Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
11-2033.00,Fundraising Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.41,02/2026,Machine Learning/Expert
11-2033.00,Fundraising Managers,1.B.1.c,Artistic,OI,Occupational Interests,2.61,02/2026,Machine Learning/Expert
11-2033.00,Fundraising Managers,1.B.1.d,Social,OI,Occupational Interests,3.76,02/2026,Machine Learning/Expert
11-2033.00,Fundraising Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7.00,02/2026,Machine Learning/Expert
11-2033.00,Fundraising Managers,1.B.1.f,Conventional,OI,Occupational Interests,4.82,02/2026,Machine Learning/Expert
11-2033.00,Fundraising Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-2033.00,Fundraising Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-2033.00,Fundraising Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,4.00,02/2026,Machine Learning/Expert
11-3012.00,Administrative Services Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.42,02/2026,Machine Learning/Expert
11-3012.00,Administrative Services Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.12,02/2026,Machine Learning/Expert
11-3012.00,Administrative Services Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.11,02/2026,Machine Learning/Expert
11-3012.00,Administrative Services Managers,1.B.1.d,Social,OI,Occupational Interests,3.74,02/2026,Machine Learning/Expert
11-3012.00,Administrative Services Managers,1.B.1.e,Enterprising,OI,Occupational Interests,6.47,02/2026,Machine Learning/Expert
11-3012.00,Administrative Services Managers,1.B.1.f,Conventional,OI,Occupational Interests,6.27,02/2026,Machine Learning/Expert
11-3012.00,Administrative Services Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-3012.00,Administrative Services Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-3012.00,Administrative Services Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,4.00,02/2026,Machine Learning/Expert
11-3013.00,Facilities Managers,1.B.1.a,Realistic,OI,Occupational Interests,4.15,02/2026,Machine Learning/Expert
11-3013.00,Facilities Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.60,02/2026,Machine Learning/Expert
11-3013.00,Facilities Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.61,02/2026,Machine Learning/Expert
11-3013.00,Facilities Managers,1.B.1.d,Social,OI,Occupational Interests,3.58,02/2026,Machine Learning/Expert
11-3013.00,Facilities Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.35,02/2026,Machine Learning/Expert
11-3013.00,Facilities Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.35,02/2026,Machine Learning/Expert
11-3013.00,Facilities Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-3013.00,Facilities Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-3013.00,Facilities Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,1.00,02/2026,Machine Learning/Expert
11-3013.01,Security Managers,1.B.1.a,Realistic,OI,Occupational Interests,3.39,02/2026,Machine Learning/Expert
11-3013.01,Security Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.69,02/2026,Machine Learning/Expert
11-3013.01,Security Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.30,02/2026,Machine Learning/Expert
11-3013.01,Security Managers,1.B.1.d,Social,OI,Occupational Interests,2.75,02/2026,Machine Learning/Expert
11-3013.01,Security Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.63,02/2026,Machine Learning/Expert
11-3013.01,Security Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.43,02/2026,Machine Learning/Expert
11-3013.01,Security Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-3013.01,Security Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-3013.01,Security Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
11-3021.00,Computer and Information Systems Managers,1.B.1.a,Realistic,OI,Occupational Interests,2.68,02/2026,Machine Learning/Expert
11-3021.00,Computer and Information Systems Managers,1.B.1.b,Investigative,OI,Occupational Interests,4.49,02/2026,Machine Learning/Expert
11-3021.00,Computer and Information Systems Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.47,02/2026,Machine Learning/Expert
11-3021.00,Computer and Information Systems Managers,1.B.1.d,Social,OI,Occupational Interests,2.35,02/2026,Machine Learning/Expert
11-3021.00,Computer and Information Systems Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.09,02/2026,Machine Learning/Expert
11-3021.00,Computer and Information Systems Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.94,02/2026,Machine Learning/Expert
11-3021.00,Computer and Information Systems Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-3021.00,Computer and Information Systems Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-3021.00,Computer and Information Systems Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
11-3031.00,Financial Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.36,02/2026,Machine Learning/Expert
11-3031.00,Financial Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.46,02/2026,Machine Learning/Expert
11-3031.00,Financial Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.59,02/2026,Machine Learning/Expert
11-3031.00,Financial Managers,1.B.1.d,Social,OI,Occupational Interests,3.04,02/2026,Machine Learning/Expert
11-3031.00,Financial Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7.00,02/2026,Machine Learning/Expert
11-3031.00,Financial Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.56,02/2026,Machine Learning/Expert
11-3031.00,Financial Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-3031.00,Financial Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-3031.00,Financial Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
11-3031.01,Treasurers and Controllers,1.B.1.a,Realistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
11-3031.01,Treasurers and Controllers,1.B.1.b,Investigative,OI,Occupational Interests,2.20,02/2026,Machine Learning/Expert
11-3031.01,Treasurers and Controllers,1.B.1.c,Artistic,OI,Occupational Interests,1.17,02/2026,Machine Learning/Expert
11-3031.01,Treasurers and Controllers,1.B.1.d,Social,OI,Occupational Interests,2.68,02/2026,Machine Learning/Expert
11-3031.01,Treasurers and Controllers,1.B.1.e,Enterprising,OI,Occupational Interests,6.15,02/2026,Machine Learning/Expert
11-3031.01,Treasurers and Controllers,1.B.1.f,Conventional,OI,Occupational Interests,6.44,02/2026,Machine Learning/Expert
11-3031.01,Treasurers and Controllers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-3031.01,Treasurers and Controllers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-3031.01,Treasurers and Controllers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
11-3031.03,Investment Fund Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.48,02/2026,Machine Learning/Expert
11-3031.03,Investment Fund Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.77,02/2026,Machine Learning/Expert
11-3031.03,Investment Fund Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.65,02/2026,Machine Learning/Expert
11-3031.03,Investment Fund Managers,1.B.1.d,Social,OI,Occupational Interests,2.69,02/2026,Machine Learning/Expert
11-3031.03,Investment Fund Managers,1.B.1.e,Enterprising,OI,Occupational Interests,6.95,02/2026,Machine Learning/Expert
11-3031.03,Investment Fund Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.21,02/2026,Machine Learning/Expert
11-3031.03,Investment Fund Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-3031.03,Investment Fund Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-3031.03,Investment Fund Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
11-3051.00,Industrial Production Managers,1.B.1.a,Realistic,OI,Occupational Interests,4.00,02/2026,Machine Learning/Expert
11-3051.00,Industrial Production Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.92,02/2026,Machine Learning/Expert
11-3051.00,Industrial Production Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.40,02/2026,Machine Learning/Expert
11-3051.00,Industrial Production Managers,1.B.1.d,Social,OI,Occupational Interests,1.85,02/2026,Machine Learning/Expert
11-3051.00,Industrial Production Managers,1.B.1.e,Enterprising,OI,Occupational Interests,6.03,02/2026,Machine Learning/Expert
11-3051.00,Industrial Production Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.21,02/2026,Machine Learning/Expert
11-3051.00,Industrial Production Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-3051.00,Industrial Production Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-3051.00,Industrial Production Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,1.00,02/2026,Machine Learning/Expert
11-3051.01,Quality Control Systems Managers,1.B.1.a,Realistic,OI,Occupational Interests,3.58,02/2026,Machine Learning/Expert
11-3051.01,Quality Control Systems Managers,1.B.1.b,Investigative,OI,Occupational Interests,4.12,02/2026,Machine Learning/Expert
11-3051.01,Quality Control Systems Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.28,02/2026,Machine Learning/Expert
11-3051.01,Quality Control Systems Managers,1.B.1.d,Social,OI,Occupational Interests,2.07,02/2026,Machine Learning/Expert
11-3051.01,Quality Control Systems Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.09,02/2026,Machine Learning/Expert
11-3051.01,Quality Control Systems Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.42,02/2026,Machine Learning/Expert
11-3051.01,Quality Control Systems Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-3051.01,Quality Control Systems Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-3051.01,Quality Control Systems Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
11-3051.02,Geothermal Production Managers,1.B.1.a,Realistic,OI,Occupational Interests,5.35,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.35,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.00,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.d,Social,OI,Occupational Interests,2.07,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.e,Enterprising,OI,Occupational Interests,4.58,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.f,Conventional,OI,Occupational Interests,4.82,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1.00,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,5.00,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.a,Realistic,OI,Occupational Interests,4.59,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.74,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.00,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.d,Social,OI,Occupational Interests,1.83,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.41,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.06,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,1.00,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.a,Realistic,OI,Occupational Interests,5.12,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.19,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.00,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.d,Social,OI,Occupational Interests,1.72,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.e,Enterprising,OI,Occupational Interests,4.86,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.34,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,1.00,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,5.00,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.a,Realistic,OI,Occupational Interests,5.37,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.64,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.00,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.d,Social,OI,Occupational Interests,1.83,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.e,Enterprising,OI,Occupational Interests,4.57,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.02,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1.00,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,5.00,11/2023,Machine Learning
11-3061.00,Purchasing Managers,1.B.1.a,Realistic,OI,Occupational Interests,2.49,02/2026,Machine Learning/Expert
11-3061.00,Purchasing Managers,1.B.1.b,Investigative,OI,Occupational Interests,1.77,02/2026,Machine Learning/Expert
11-3061.00,Purchasing Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.20,02/2026,Machine Learning/Expert
11-3061.00,Purchasing Managers,1.B.1.d,Social,OI,Occupational Interests,2.70,02/2026,Machine Learning/Expert
11-3061.00,Purchasing Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7.00,02/2026,Machine Learning/Expert
11-3061.00,Purchasing Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.98,02/2026,Machine Learning/Expert
11-3061.00,Purchasing Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-3061.00,Purchasing Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-3061.00,Purchasing Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.a,Realistic,OI,Occupational Interests,3.60,02/2026,Machine Learning/Expert
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.b,Investigative,OI,Occupational Interests,2.64,02/2026,Machine Learning/Expert
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.c,Artistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.d,Social,OI,Occupational Interests,2.39,02/2026,Machine Learning/Expert
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.e,Enterprising,OI,Occupational Interests,5.99,02/2026,Machine Learning/Expert
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.f,Conventional,OI,Occupational Interests,5.74,02/2026,Machine Learning/Expert
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
11-3071.04,Supply Chain Managers,1.B.1.a,Realistic,OI,Occupational Interests,3.39,02/2026,Machine Learning/Expert
11-3071.04,Supply Chain Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.46,02/2026,Machine Learning/Expert
11-3071.04,Supply Chain Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
11-3071.04,Supply Chain Managers,1.B.1.d,Social,OI,Occupational Interests,2.04,02/2026,Machine Learning/Expert
11-3071.04,Supply Chain Managers,1.B.1.e,Enterprising,OI,Occupational Interests,6.24,02/2026,Machine Learning/Expert
