O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
11-1021.00,General and Operations Managers,20701,Prepare staff work schedules and assign specific duties.,Core,82,08/2023,Incumbent
11-1021.00,General and Operations Managers,20703,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,82,08/2023,Incumbent
11-1021.00,General and Operations Managers,20706,"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",Core,82,08/2023,Incumbent
11-1021.00,General and Operations Managers,20705,"Perform personnel functions, such as selection, training, or evaluation.",Core,82,08/2023,Incumbent
11-1021.00,General and Operations Managers,20704,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",Core,82,08/2023,Incumbent
11-1021.00,General and Operations Managers,20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,Core,82,08/2023,Incumbent
11-1021.00,General and Operations Managers,20708,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",Supplemental,82,08/2023,Incumbent
11-1021.00,General and Operations Managers,20707,"Set prices or credit terms for goods or services, based on forecasts of customer demand.",Supplemental,81,08/2023,Incumbent
11-1021.00,General and Operations Managers,944,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",Supplemental,82,08/2023,Incumbent
11-1021.00,General and Operations Managers,945,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",Supplemental,81,08/2023,Incumbent
11-1021.00,General and Operations Managers,947,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",Supplemental,82,08/2023,Incumbent
11-1021.00,General and Operations Managers,19501,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",Supplemental,82,08/2023,Incumbent
11-1021.00,General and Operations Managers,949,Plan store layouts or design displays.,Supplemental,82,08/2023,Incumbent
11-1021.00,General and Operations Managers,948,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.",Supplemental,82,08/2023,Incumbent
11-1031.00,Legislators,15267,Analyze and understand the local and national implications of proposed legislation.,,,06/2006,Analyst
11-1031.00,Legislators,15268,"Appoint nominees to leadership posts, or approve such appointments.",,,06/2006,Analyst
11-1031.00,Legislators,15269,Confer with colleagues to formulate positions and strategies pertaining to pending issues.,,,06/2006,Analyst
11-1031.00,Legislators,15270,"Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.",,,06/2006,Analyst
11-1031.00,Legislators,15271,Develop expertise in subject matters related to committee assignments.,,,06/2006,Analyst
11-1031.00,Legislators,15272,"Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration.",,,06/2006,Analyst
11-1031.00,Legislators,15273,"Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts.",,,06/2006,Analyst
11-1031.00,Legislators,15274,Maintain knowledge of relevant national and international current events.,,,06/2006,Analyst
11-1031.00,Legislators,15275,"Make decisions that balance the perspectives of private citizens, public officials, and party leaders.",,,06/2006,Analyst
11-1031.00,Legislators,15276,"Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.",,,06/2006,Analyst
11-1031.00,Legislators,15277,"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",,,06/2006,Analyst
11-1031.00,Legislators,15278,Read and review concerns of constituents or the general public and determine if governmental action is necessary.,,,06/2006,Analyst
11-1031.00,Legislators,15279,"Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.",,,06/2006,Analyst
11-1031.00,Legislators,15280,"Review bills in committee, and make recommendations about their future.",,,06/2006,Analyst
11-1031.00,Legislators,15281,Seek federal funding for local projects and programs.,,,06/2006,Analyst
11-1031.00,Legislators,15282,"Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action.",,,06/2006,Analyst
11-1031.00,Legislators,15283,"Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor.",,,06/2006,Analyst
11-1031.00,Legislators,15284,"Write, prepare, and deliver statements for the Congressional Record.",,,06/2006,Analyst
11-1031.00,Legislators,15285,"Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings.",,,06/2006,Analyst
11-1031.00,Legislators,15286,"Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.",,,06/2006,Analyst
11-1031.00,Legislators,15287,"Conduct ""head counts"" to help predict the outcome of upcoming votes.",,,06/2006,Analyst
11-1031.00,Legislators,15288,"Determine campaign strategies for media advertising, positions on issues, and public appearances.",,,06/2006,Analyst
11-1031.00,Legislators,15289,Encourage and support party candidates for political office.,,,06/2006,Analyst
11-1031.00,Legislators,15290,"Establish personal offices in local districts or states, and manage office staff.",,,06/2006,Analyst
11-1031.00,Legislators,15291,"Evaluate the structure, efficiency, activities, and performance of government agencies.",,,06/2006,Analyst
11-1031.00,Legislators,15292,"Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election.",,,06/2006,Analyst
11-1031.00,Legislators,15293,"Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year.",,,06/2006,Analyst
11-1031.00,Legislators,15294,Promote the industries and products of their electoral districts.,,,06/2006,Analyst
11-1031.00,Legislators,15295,"Represent their government at local, national, and international meetings and conferences.",,,06/2006,Analyst
11-1031.00,Legislators,15296,Speak to students to encourage and support the development of future political leaders.,,,06/2006,Analyst
11-2011.00,Advertising and Promotions Managers,3224,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",Core,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3226,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",Core,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3227,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",Core,47,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,21222,"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services.",Core,47,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,21223,"Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations.",Core,47,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3237,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",Core,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,Core,47,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,21225,"Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.",Core,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,21218,Analyze the effectiveness of marketing tactics or channels.,Core,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,21221,"Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs.",Core,47,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,21220,"Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.",Core,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3239,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",Core,47,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3242,Coordinate with the media to disseminate advertising.,Core,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3231,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",Core,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,21217,Analyze marketing or sales trends to forecast future conditions.,Core,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3228,Prepare and negotiate advertising and sales contracts.,Core,47,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Core,47,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3245,Represent company at trade association meetings to promote products.,Core,47,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,21224,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",Core,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3243,Contact organizations to explain services and facilities offered.,Core,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Core,47,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,21219,"Attend or participate in conferences, community events, and promotional events related to products or technologies.",Core,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,18586,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance.",Supplemental,47,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3235,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,Supplemental,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3238,Plan and execute advertising policies and strategies for organizations.,Supplemental,47,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3229,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",Supplemental,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3241,Train and direct workers engaged in developing and producing advertisements.,Supplemental,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3236,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,Supplemental,48,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3240,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.",Supplemental,47,08/2026,Incumbent
11-2011.00,Advertising and Promotions Managers,3244,Direct and coordinate product research and development.,Supplemental,47,08/2026,Incumbent
11-2021.00,Marketing Managers,20709,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",Core,66,08/2026,Incumbent
11-2021.00,Marketing Managers,958,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",Core,66,08/2026,Incumbent
11-2021.00,Marketing Managers,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",Core,66,08/2026,Incumbent
11-2021.00,Marketing Managers,954,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",Core,66,08/2026,Incumbent
11-2021.00,Marketing Managers,952,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",Core,66,08/2026,Incumbent
11-2021.00,Marketing Managers,950,"Develop pricing strategies, balancing firm objectives and customer satisfaction.",Core,66,08/2026,Incumbent
11-2021.00,Marketing Managers,963,"Initiate market research studies, or analyze their findings.",Core,66,08/2026,Incumbent
11-2021.00,Marketing Managers,957,Compile lists describing product or service offerings.,Core,66,08/2026,Incumbent
11-2021.00,Marketing Managers,956,"Consult with product development personnel on product specifications, such as design, color, or packaging.",Core,66,08/2026,Incumbent
11-2021.00,Marketing Managers,19505,"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",Core,66,08/2026,Incumbent
11-2021.00,Marketing Managers,965,Conduct economic or commercial surveys to identify potential markets for products or services.,Core,66,08/2026,Incumbent
11-2021.00,Marketing Managers,961,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",Core,66,08/2026,Incumbent
11-2021.00,Marketing Managers,964,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,Supplemental,66,08/2026,Incumbent
11-2021.00,Marketing Managers,955,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",Supplemental,66,08/2026,Incumbent
11-2021.00,Marketing Managers,960,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",Supplemental,66,08/2026,Incumbent
11-2021.00,Marketing Managers,19502,Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,Supplemental,66,08/2026,Incumbent
11-2021.00,Marketing Managers,962,"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",Supplemental,65,08/2026,Incumbent
11-2021.00,Marketing Managers,959,Select products or accessories to be displayed at trade or special production shows.,Supplemental,65,08/2026,Incumbent
11-2021.00,Marketing Managers,19504,"Integrate environmental information into product or company marketing strategies, policies, or activities.",Supplemental,65,08/2026,Incumbent
11-2021.00,Marketing Managers,19503,Develop business cases for environmental marketing strategies.,Supplemental,66,08/2026,Incumbent
11-2022.00,Sales Managers,14,Oversee regional and local sales managers and their staffs.,Core,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,1,Resolve customer complaints regarding sales and service.,Core,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,2,Monitor customer preferences to determine focus of sales efforts.,Core,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,13,"Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase.",Core,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,5,Review operational records and reports to project sales and determine profitability.,Core,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,11,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",Core,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,3,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale.",Core,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,4,Determine price schedules and discount rates.,Core,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,9,Prepare budgets and approve budget expenditures.,Core,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,7,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,Core,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,12,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,Core,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,10,Represent company at trade association meetings to promote products.,Core,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,8,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,Core,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,6,"Direct, coordinate, and review sales and service accounting and record-keeping, as well as receiving and shipping.",Core,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,15,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",Core,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,17,"Assess marketing potential of new and existing store locations, considering statistics and expenditures.",Supplemental,21,08/2025,Occupational Expert
11-2022.00,Sales Managers,16,Direct foreign sales and service outlets of an organization.,Supplemental,21,08/2025,Occupational Expert
11-2032.00,Public Relations Managers,21233,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.",Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21226,"Assign, supervise, and review the activities of public relations staff.",Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21237,"Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21230,"Develop, implement, or maintain crisis communication plans.",Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21245,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21239,Manage communications budgets.,Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21229,"Develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21235,"Facilitate consumer relations or the relationship between parts of the company, such as the managers and employees, or different branch offices.",Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21242,"Observe and report on social, economic, and political trends that might affect employers.",Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21232,Draft speeches for company executives and arrange interviews and other forms of contact for them.,Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21236,"Formulate policies and procedures related to public information programs, working with public relations executives.",Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21231,"Direct activities of external agencies, establishments, or departments that develop and implement communication strategies and information programs.",Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21244,Respond to requests for information about employers' activities or status.,Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21227,Confer with labor relations managers to develop internal communications that keep employees informed of company activities.,Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21234,Evaluate advertising and promotion programs for compatibility with public relations efforts.,Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21243,"Produce films and other video products, regulate their distribution, and operate film library.",Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21241,"Manage special events, such as sponsorship of races, parties introducing new products, or other activities the firm supports, to gain public attention through the media without advertising directly.",Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21228,"Design and edit promotional publications, such as brochures.",Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21240,Manage in-house communication courses.,Core,31,08/2026,Occupational Expert
11-2032.00,Public Relations Managers,21238,Maintain company archives.,Supplemental,31,08/2026,Occupational Expert
11-2033.00,Fundraising Managers,21252,Develop strategies to encourage new or increased contributions.,Core,56,08/2025,Incumbent
11-2033.00,Fundraising Managers,21258,Manage fundraising budgets.,Core,55,08/2025,Incumbent
11-2033.00,Fundraising Managers,21251,Develop fundraising activity plans that maximize participation or contributions and minimize costs.,Core,55,08/2025,Incumbent
11-2033.00,Fundraising Managers,21259,"Plan and direct special events for fundraising, such as silent auctions, dances, golf events, or walks.",Core,56,08/2025,Incumbent
11-2033.00,Fundraising Managers,21255,"Establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds.",Core,55,08/2025,Incumbent
11-2033.00,Fundraising Managers,21254,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new fundraising opportunities.",Core,55,08/2025,Incumbent
11-2033.00,Fundraising Managers,21247,Compile or develop materials to submit to granting or other funding organizations.,Core,56,08/2025,Incumbent
11-2033.00,Fundraising Managers,21249,"Contact corporate representatives, government officials, or community leaders to increase awareness of organizational causes, activities, or needs.",Core,55,08/2025,Incumbent
11-2033.00,Fundraising Managers,21248,"Conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets.",Core,55,08/2025,Incumbent
11-2033.00,Fundraising Managers,21261,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet Web pages.",Core,56,08/2025,Incumbent
11-2033.00,Fundraising Managers,21257,Formulate policies and procedures related to fundraising programs.,Core,55,08/2025,Incumbent
11-2033.00,Fundraising Managers,21246,"Assign, supervise, and review the activities of fundraising staff.",Core,55,08/2025,Incumbent
11-2033.00,Fundraising Managers,21256,Evaluate advertising and promotion programs for compatibility with fundraising efforts.,Core,55,08/2025,Incumbent
11-2033.00,Fundraising Managers,21250,"Design and edit promotional publications, such as brochures.",Core,55,08/2025,Incumbent
11-2033.00,Fundraising Managers,21253,"Direct activities of external agencies, establishments, or departments that develop and implement fundraising strategies and programs.",Supplemental,56,08/2025,Incumbent
11-2033.00,Fundraising Managers,21260,"Produce films and other video products, regulate their distribution, and operate film library.",Supplemental,55,08/2025,Incumbent
11-3012.00,Administrative Services Managers,21,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,Core,133,07/2017,Incumbent
11-3012.00,Administrative Services Managers,20,Set goals and deadlines for the department.,Core,133,07/2017,Incumbent
11-3012.00,Administrative Services Managers,23,"Acquire, distribute and store supplies.",Core,133,07/2017,Incumbent
11-3012.00,Administrative Services Managers,22,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",Core,134,07/2017,Incumbent
11-3012.00,Administrative Services Managers,30,Conduct classes to teach procedures to staff.,Core,134,07/2017,Incumbent
11-3012.00,Administrative Services Managers,24,"Plan, administer, and control budgets for contracts, equipment, and supplies.",Supplemental,133,07/2017,Incumbent
11-3012.00,Administrative Services Managers,26,Hire and terminate clerical and administrative personnel.,Supplemental,133,07/2017,Incumbent
11-3012.00,Administrative Services Managers,19,"Direct or coordinate the supportive services department of a business, agency, or organization.",Supplemental,133,07/2017,Incumbent
11-3012.00,Administrative Services Managers,21262,"Communicate with and provide guidance for external vendors and service providers to ensure the organization, department, or work unit's business needs are met.",,,11/2020,Analyst
11-3012.00,Administrative Services Managers,21263,Develop operational standards and procedures for the work unit or department.,,,11/2020,Analyst
11-3012.00,Administrative Services Managers,21264,Establish work procedures or schedules to organize the daily work of administrative staff.,,,11/2020,Analyst
